Frequency [kHz], IN2
1.145019531, -109.794167
1.145629883, -108.599487
1.1462402340000002, -110.711411
1.146850586, -116.772606
1.147460938, -120
1.148071289, -118.308929
1.1486816409999998, -113.129135
1.149291992, -114.268867
1.149902344, -112.834663
1.150512695, -110.64119
1.151123047, -108.901962
1.1517333980000002, -106.081429
1.15234375, -103.786209
1.1529541019999998, -102.438568
1.153564453, -101.987312
1.154174805, -102.525261
1.154785156, -104.402473
1.155395508, -108.631027
1.1560058590000002, -115.744339
1.156616211, -119.690079
1.157226562, -114.001907
1.157836914, -111.8302
1.1584472659999998, -113.697662
1.159057617, -117.502754
1.159667969, -118.455772
1.16027832, -111.541069
1.160888672, -108.297638
1.1614990230000002, -107.676483
1.162109375, -108.092575
1.1627197269999998, -107.945663
1.163330078, -107.78907
1.16394043, -109.186852
1.164550781, -110.251175
1.165161133, -110.32132
1.1657714840000002, -111.885605
1.166381836, -109.081299
1.166992188, -107.477867
1.167602539, -108.329659
1.1682128909999998, -111.384056
1.168823242, -112.543045
1.169433594, -109.479561
1.170043945, -108.71917
1.170654297, -110.877846
1.1712646480000002, -115.757919
1.171875, -117.461838
1.1724853519999998, -114.975494
1.173095703, -110.935867
1.173706055, -110.084038
1.174316406, -112.536026
1.174926758, -116.240799
1.1755371090000002, -113.911179
1.176147461, -114.411003
1.176757812, -113.444672
1.177368164, -108.418625
1.1779785159999998, -105.912598
1.178588867, -104.248566
1.179199219, -104.232452
1.17980957, -105.913986
1.180419922, -108.00029
1.1810302730000002, -110.419128
1.181640625, -114.556313
1.1822509769999998, -120
1.182861328, -113.302856
1.18347168, -110.189751
1.184082031, -110.483002
1.184692383, -110.240387
1.1853027340000002, -111.382187
1.185913086, -115.008499
1.186523438, -117.426147
1.187133789, -118.058052
1.1877441409999998, -110.403938
1.188354492, -108.328049
1.188964844, -111.968262
1.189575195, -120
1.190185547, -120
1.1907958980000002, -116.184395
1.19140625, -114.008148
1.1920166019999998, -109.984756
1.192626953, -109.136551
1.193237305, -112.713432
1.193847656, -117.459991
1.194458008, -120
1.1950683590000002, -113.208321
1.195678711, -106.865173
1.196289062, -105.413498
1.196899414, -105.26564
1.1975097659999998, -105.17617
1.198120117, -106.289711
1.198730469, -109.578918
1.19934082, -113.968803
1.199951172, -113.116997
1.2005615230000002, -111.086342
1.201171875, -113.263672
1.2017822269999998, -113.856972
1.202392578, -108.312492
