x-axis,MATH
Hertz,dBV
+1.330000E+03,-59.63125E+00
+1.335000E+03,-57.84875E+00
+1.340000E+03,-55.70813E+00
+1.345000E+03,-54.08188E+00
+1.350000E+03,-52.81563E+00
+1.355000E+03,-51.85250E+00
+1.360000E+03,-51.46375E+00
+1.365000E+03,-51.76875E+00
+1.370000E+03,-52.79625E+00
+1.375000E+03,-54.27344E+00
+1.380000E+03,-56.41844E+00
+1.385000E+03,-58.96375E+00
+1.390000E+03,-61.52375E+00
+1.395000E+03,-62.56125E+00
+1.400000E+03,-61.67188E+00
+1.405000E+03,-61.14375E+00
+1.410000E+03,-60.64375E+00
+1.415000E+03,-60.81719E+00
+1.420000E+03,-60.89844E+00
+1.425000E+03,-61.45625E+00
+1.430000E+03,-62.71000E+00
+1.435000E+03,-63.61906E+00
+1.440000E+03,-62.67781E+00
+1.445000E+03,-60.38438E+00
+1.450000E+03,-57.72188E+00
+1.455000E+03,-56.15656E+00
+1.460000E+03,-55.22906E+00
+1.465000E+03,-54.56281E+00
+1.470000E+03,-54.33594E+00
+1.475000E+03,-54.35469E+00
+1.480000E+03,-54.64344E+00
+1.485000E+03,-55.41344E+00
+1.490000E+03,-56.64031E+00
+1.495000E+03,-58.49406E+00
+1.500000E+03,-60.65625E+00
+1.505000E+03,-63.27375E+00
+1.510000E+03,-63.33375E+00
+1.515000E+03,-61.61313E+00
+1.520000E+03,-60.61063E+00
+1.525000E+03,-60.56563E+00
+1.530000E+03,-61.11219E+00
+1.535000E+03,-61.71844E+00
+1.540000E+03,-63.36656E+00
+1.545000E+03,-67.73031E+00
+1.550000E+03,-70.39531E+00
+1.555000E+03,-66.99219E+00
+1.560000E+03,-64.37500E+00
+1.565000E+03,-65.67500E+00
+1.570000E+03,-69.82438E+00
+1.575000E+03,-75.51563E+00
+1.580000E+03,-73.05750E+00
+1.585000E+03,-67.22750E+00
+1.590000E+03,-64.06344E+00
+1.595000E+03,-61.47156E+00
+1.600000E+03,-59.40313E+00
+1.605000E+03,-58.16813E+00
+1.610000E+03,-58.54469E+00
+1.615000E+03,-59.78781E+00
+1.620000E+03,-61.17813E+00
+1.625000E+03,-62.89063E+00
+1.630000E+03,-63.33875E+00
+1.635000E+03,-61.40500E+00
+1.640000E+03,-58.05719E+00
+1.645000E+03,-55.37719E+00
+1.650000E+03,-53.96719E+00
+1.655000E+03,-53.75656E+00
+1.660000E+03,-54.65750E+00
+1.665000E+03,-56.35375E+00
+1.670000E+03,-58.11469E+00
+1.675000E+03,-59.99375E+00
+1.680000E+03,-62.98625E+00
+1.685000E+03,-67.97406E+00
+1.690000E+03,-69.15406E+00
+1.695000E+03,-64.60750E+00
+1.700000E+03,-60.29375E+00
+1.705000E+03,-58.20969E+00
+1.710000E+03,-56.49281E+00
+1.715000E+03,-55.60000E+00
+1.720000E+03,-54.98000E+00
+1.725000E+03,-55.08594E+00
+1.730000E+03,-55.78094E+00
+1.735000E+03,-56.57281E+00
+1.740000E+03,-56.80406E+00
+1.745000E+03,-56.49875E+00
+1.750000E+03,-56.15625E+00
+1.755000E+03,-55.93156E+00
+1.760000E+03,-55.88906E+00
+1.765000E+03,-55.74438E+00
+1.770000E+03,-55.49000E+00
+1.775000E+03,-55.41563E+00
+1.780000E+03,-55.90813E+00
+1.785000E+03,-57.34250E+00
+1.790000E+03,-60.16875E+00
+1.795000E+03,-64.96437E+00
+1.800000E+03,-72.40937E+00
+1.805000E+03,-73.70469E+00
+1.810000E+03,-69.35781E+00
+1.815000E+03,-65.99344E+00
+1.820000E+03,-65.01469E+00
+1.825000E+03,-64.50625E+00
+1.830000E+03,-64.31375E+00
+1.835000E+03,-63.60250E+00
+1.840000E+03,-63.04750E+00
+1.845000E+03,-62.33344E+00
+1.850000E+03,-62.50156E+00
+1.855000E+03,-62.00938E+00
+1.860000E+03,-62.02563E+00
+1.865000E+03,-61.06438E+00
+1.870000E+03,-58.65188E+00
+1.875000E+03,-56.36719E+00
+1.880000E+03,-54.58781E+00
+1.885000E+03,-53.68656E+00
+1.890000E+03,-53.20875E+00
+1.895000E+03,-53.29250E+00
+1.900000E+03,-53.42188E+00
+1.905000E+03,-53.62750E+00
+1.910000E+03,-53.94625E+00
+1.915000E+03,-54.72625E+00
+1.920000E+03,-55.80000E+00
+1.925000E+03,-56.70000E+00
+1.930000E+03,-56.48594E+00
+1.935000E+03,-56.03219E+00
+1.940000E+03,-56.33000E+00
+1.945000E+03,-57.56875E+00
+1.950000E+03,-57.78750E+00
+1.955000E+03,-51.58250E+00
+1.960000E+03,-38.20687E+00
+1.965000E+03,-26.13812E+00
+1.970000E+03,-17.32281E+00
+1.975000E+03,-11.13281E+00
+1.980000E+03,-7.03844E+00
+1.985000E+03,-4.64156E+00
+1.990000E+03,-3.52219E+00
+1.995000E+03,-3.17469E+00
+2.000000E+03,-3.12500E+00
+2.005000E+03,-3.17375E+00
+2.010000E+03,-3.50688E+00
+2.015000E+03,-4.61688E+00
+2.020000E+03,-7.00844E+00
+2.025000E+03,-11.08594E+00
+2.030000E+03,-17.25531E+00
+2.035000E+03,-26.08531E+00
+2.040000E+03,-38.60625E+00
+2.045000E+03,-54.33312E+00
+2.050000E+03,-57.29844E+00
+2.055000E+03,-56.96719E+00
+2.060000E+03,-57.88531E+00
+2.065000E+03,-61.10719E+00
+2.070000E+03,-65.57437E+00
+2.075000E+03,-72.94687E+00
+2.080000E+03,-70.85906E+00
+2.085000E+03,-66.88813E+00
+2.090000E+03,-63.57438E+00
+2.095000E+03,-60.50250E+00
+2.100000E+03,-58.33125E+00
+2.105000E+03,-57.08906E+00
+2.110000E+03,-56.86906E+00
+2.115000E+03,-56.48531E+00
+2.120000E+03,-56.11656E+00
+2.125000E+03,-56.81250E+00
